"","sample_name","treatment","genus","plug_label","time_point","plate","group","sum","props"
"62","S2_Dhe_3.1-200","Dhe","Cladocopium","S2","S2","plate_5","group15",8,0
"63","S2_Dhe_3.2-201","Dhe","Cladocopium","S2","S2","plate_5","group15",122,0.06
"64","S2_Dhe_3.3-202","Dhe","Cladocopium","S2","S2","plate_5","group15",38,0.02
"65","S2_Dhe_9.1-203","Dhe","Cladocopium","S2","S2","plate_5","group15",158,0.03
"66","S2_Dhe_9.2-204","Dhe","Cladocopium","S2","S2","plate_5","group15",214,0.02
"67","S2_Dhe_9.3-205","Dhe","Cladocopium","S2","S2","plate_5","group15",17,0
"68","S2_Dwt_10.1-206","Dwt","Cladocopium","S2","S2","plate_5","group13",30,0.01
"69","S2_Dwt_10.2-207","Dwt","Cladocopium","S2","S2","plate_5","group13",30,0.01
"70","S2_Dwt_17.1-209","Dwt","Cladocopium","S2","S2","plate_5","group13",100,0.01
"71","S2_Dwt_17.2-210","Dwt","Cladocopium","S2","S2","plate_5","group13",90,0.01
"72","S2_Dwt_17.3-211","Dwt","Cladocopium","S2","S2","plate_5","group13",20,0
"73","S2_Dwt_18.1-212","Dwt","Cladocopium","S2","S2","plate_5","group13",140,0.01
"74","S2_Dwt_18.2-213","Dwt","Cladocopium","S2","S2","plate_5","group13",25,0
"75","S2_Dwt_18.3-214","Dwt","Cladocopium","S2","S2","plate_5","group13",99,0.01
"76","S3_CheDhe_14.1-215","CheDhe","Cladocopium","S3.2","S3","plate_5","group8",779,0.07
"77","S3_CheDhe_14.2-216","CheDhe","Cladocopium","S3.2","S3","plate_5","group8",2473,0.16
"78","S3_CheDhe_14.3-217","CheDhe","Cladocopium","S3.2","S3","plate_5","group8",21,0
"79","S3_CheDhe_21.1-218","CheDhe","Cladocopium","S3.2","S3","plate_6","group8",304,0.03
"80","S3_CheDhe_21.3-220","CheDhe","Cladocopium","S3.2","S3","plate_6","group8",1701,0.08
"81","S3_CheDhe_6.1-221","CheDhe","Cladocopium","S3.1","S3","plate_5","group4",1294,0.07
"82","S3_CheDhe_6.2-222","CheDhe","Cladocopium","S3.1","S3","plate_5","group4",979,0.07
"83","S3_CheDhe_6.3-223","CheDhe","Cladocopium","S3.1","S3","plate_5","group4",652,0.15
"84","S3_CheDwt_12.1-224","CheDwt","Cladocopium","S3.2","S3","plate_6","group6",29,0.01
"85","S3_CheDwt_12.2-225","CheDwt","Cladocopium","S3.2","S3","plate_6","group6",252,0.02
"86","S3_CheDwt_29.1-227","CheDwt","Cladocopium","S3.2","S3","plate_5","group6",401,0.02
"87","S3_CheDwt_29.2-228","CheDwt","Cladocopium","S3.2","S3","plate_5","group6",60,0.01
"88","S3_CheDwt_29.3-229","CheDwt","Cladocopium","S3.2","S3","plate_5","group6",747,0.1
"89","S3_CheDwt_5.1-230","CheDwt","Cladocopium","S3.1","S3","plate_5","group2",14,0
"90","S3_CheDwt_5.2-231","CheDwt","Cladocopium","S3.1","S3","plate_5","group2",166,0.01
"91","S3_CheDwt_5.3-232","CheDwt","Cladocopium","S3.1","S3","plate_5","group2",29,0.02
"92","S3_CwtDhe_11.2-243","CwtDhe","Cladocopium","S3.1","S3","plate_5","group4",188,0.03
"93","S3_CwtDhe_15.1-245","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",137,0.01
"94","S3_CwtDhe_15.3-247","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",159,0.01
"95","S3_CwtDhe_23.1-248","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",183,0.02
"96","S3_CwtDhe_23.2-249","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",78,0.03
"97","S3_CwtDhe_23.3-250","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",164,0.01
"98","S3_CwtDwt_26.1-251","CwtDwt","Cladocopium","S3.2","S3","plate_6","group6",40,0.01
"99","S3_CwtDwt_26.2-252","CwtDwt","Cladocopium","S3.2","S3","plate_6","group6",128,0.01
"100","S3_CwtDwt_27.1-254","CwtDwt","Cladocopium","S3.2","S3","plate_5","group6",126,0.01
"101","S3_CwtDwt_27.2-255","CwtDwt","Cladocopium","S3.2","S3","plate_5","group6",188,0.02
"102","S3_CwtDwt_8.3-259","CwtDwt","Cladocopium","S3.1","S3","plate_5","group2",125,0.02
"103","S3_Dhe_24.2-270","Dhe","Cladocopium","S3.2","S3","plate_6","group7",26,0.01
"104","S3_Dhe_24.3-271","Dhe","Cladocopium","S3.2","S3","plate_6","group7",125,0.01
"105","S3_Dhe_3.1-272","Dhe","Cladocopium","S3.1","S3","plate_5","group3",179,0.03
"106","S3_Dhe_3.2-273","Dhe","Cladocopium","S3.1","S3","plate_5","group3",294,0.03
"107","S3_Dhe_3.3-274","Dhe","Cladocopium","S3.1","S3","plate_5","group3",20,0
"108","S3_Dhe_9.1-275","Dhe","Cladocopium","S3.2","S3","plate_6","group7",113,0.01
"109","S3_Dhe_9.2-276","Dhe","Cladocopium","S3.2","S3","plate_6","group7",4,0
"110","S3_Dhe_9.3-277","Dhe","Cladocopium","S3.2","S3","plate_6","group7",91,0.01
"111","S3_Dwt_17.1-278","Dwt","Cladocopium","S3.2","S3","plate_5","group5",115,0.01
"112","S3_Dwt_17.2-279","Dwt","Cladocopium","S3.2","S3","plate_6","group5",20,0.01
"113","S3_Dwt_17.3-280","Dwt","Cladocopium","S3.2","S3","plate_6","group5",39,0.01
"114","S3_Dwt_18.1-281","Dwt","Cladocopium","S3.1","S3","plate_5","group1",152,0.01
"115","S3_Dwt_18.2-282","Dwt","Cladocopium","S3.1","S3","plate_5","group1",35,0.01
"116","S3_Dwt_18.3-283","Dwt","Cladocopium","S3.1","S3","plate_5","group1",174,0.02
"117","S3_Dwt_25.1-284","Dwt","Cladocopium","S3.1","S3","plate_5","group1",116,0
