"","sample_name","treatment","genus","plug_label","time_point","plate","group","sum","props","adj"
"58","S3_CheDwt_12.1-224","CheDwt","Cladocopium","S3.2","S3","plate_6","group6",29,1e-05,0
"59","S3_CheDwt_12.2-225","CheDwt","Cladocopium","S3.2","S3","plate_6","group6",252,0.01,124
"60","S3_CheDwt_29.1-227","CheDwt","Cladocopium","S3.2","S3","plate_5","group6",401,0.02,273
"61","S3_CheDwt_29.2-228","CheDwt","Cladocopium","S3.2","S3","plate_5","group6",60,1e-05,0
"62","S3_CheDwt_29.3-229","CheDwt","Cladocopium","S3.2","S3","plate_5","group6",747,0.08,619
"63","S3_CheDwt_5.1-230","CheDwt","Cladocopium","S3.1","S3","plate_5","group2",14,1e-05,0
"64","S3_CheDwt_5.2-231","CheDwt","Cladocopium","S3.1","S3","plate_5","group2",166,0.01,149
"65","S3_CheDwt_5.3-232","CheDwt","Cladocopium","S3.1","S3","plate_5","group2",29,0.01,12
"66","S3_CwtDhe_11.2-243","CwtDhe","Cladocopium","S3.1","S3","plate_5","group4",188,0.03,171
"67","S3_CwtDhe_15.1-245","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",137,1e-05,9
"68","S3_CwtDhe_15.3-247","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",159,1e-05,31
"69","S3_CwtDhe_23.1-248","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",183,0.01,55
"70","S3_CwtDhe_23.2-249","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",78,1e-05,0
"71","S3_CwtDhe_23.3-250","CwtDhe","Cladocopium","S3.2","S3","plate_6","group8",164,1e-05,36
"72","S3_CwtDwt_26.1-251","CwtDwt","Cladocopium","S3.2","S3","plate_6","group6",40,1e-05,0
"73","S3_CwtDwt_26.2-252","CwtDwt","Cladocopium","S3.2","S3","plate_6","group6",128,1e-05,0
"74","S3_CwtDwt_27.1-254","CwtDwt","Cladocopium","S3.2","S3","plate_5","group6",126,1e-05,0
"75","S3_CwtDwt_27.2-255","CwtDwt","Cladocopium","S3.2","S3","plate_5","group6",188,0.01,60
"76","S3_CwtDwt_8.3-259","CwtDwt","Cladocopium","S3.1","S3","plate_5","group2",125,0.01,108
